,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8786127167630058,0.8786127167630058,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.8786127167630058,0.8786127167630058,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.861271676300578,0.861271676300578,0.17500853538513184,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8554913294797688,0.8554913294797687,0.17500853538513184,0,0.010796266168975052,0.07038173934331941,0.09119825625052669,0.026076658435172873,0.07534110567944621,0.028093293756094755,0.10144103245760953,0.28317676114016327,0.046359641960409356,0.08788360894581902,0.011710012009357788,0.011057444404977896,0.07067808668586957,0.0858060927622586
4,australian,001 knn,004 l1,0.8554913294797688,0.8554913294797687,0.0034248828887939453,0,False,False,False,True,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8786127167630058,0.8786127167630058,0.05219268798828125,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8670520231213873,0.8670520231213873,0.05219268798828125,0,0.7670682730923695,0.0,0.03100775193798455,0.8939759036144578,0.48406546080964685,0.3493975903614458,0.14298018949181734,1.0,0.8377510040160643,0.20160642570281123,0.757429718875502,0.927710843373494,0.23944875107665808,0.42894056847545214
7,australian,001 knn,006 forward selection,0.8497109826589595,0.8497109826589595,3.512587785720825,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8670520231213873,0.8670520231213873,4.851542949676514,0,True,True,True,True,True,True,True,True,True,True,False,False,True,True
9,australian,001 knn,008 stepwise selection,0.861271676300578,0.861271676300578,5.225693702697754,0,False,False,False,True,True,False,False,True,True,False,True,False,True,True
10,australian,001 knn,009 bayesian selection,0.8786127167630058,0.8786127167630058,34.6446750164032,184,True,True,True,False,False,True,True,True,True,True,False,True,False,True
11,australian,001 knn,013 bayesian weighting,0.9075144508670521,0.9075144508670521,88.68672728538513,183,0.6789389493557516,0.2990816033759272,0.04670667317079311,0.28144823729108037,0.2384369900299841,0.8818189146653941,0.22670480593477269,0.27598081593512747,0.818878522664995,0.6812937689978846,0.827457092602996,0.324873108288534,0.5883352567482549,0.5167734982354045
