,dataset,base,method,PM1,PM2,Time,TriesToOpt,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
0,diabetes,001 knn,000 all,3691.611868066413,0.3922113503637794,0.0,0,True,True,True,True,True,True,True,True,True,True
1,diabetes,000 rf,000 all,3403.5042951932096,0.4396455116257789,0.0,0,True,True,True,True,True,True,True,True,True,True
2,diabetes,001 knn,002 intercorrelation,3714.7797632343095,0.3883969776121866,0.01924300193786621,0,True,True,True,True,True,False,True,True,True,True
3,diabetes,001 knn,010 correlation weighting,3530.156373315464,0.4187934561316933,0.01924300193786621,0,0.23936560047074965,0.008621812062864222,0.5810802166566688,0.4533231356704183,0.22229027826493045,0.17712471886575845,0.39396552026744597,0.43847943331084366,0.5640507623730435,0.4113133331725974
4,diabetes,001 knn,003 feature importance selection,3961.096065073338,0.34784335013765344,0.2141578197479248,0,False,True,False,True,True,False,True,False,True,False
5,diabetes,001 knn,011 feature importance weighting,3418.270456406821,0.43721440415698853,0.2141578197479248,0,0.059365111333308726,0.010351482777078421,0.26642901067888775,0.09969123961558332,0.045220132000272105,0.05504745935438529,0.048803329861551836,0.02074235406939895,0.30179468120669056,0.09255519910284299
6,diabetes,001 knn,004 l1,3418.270456406821,0.43721440415698853,0.006541013717651367,0,True,True,True,True,True,True,True,True,True,True
7,diabetes,001 knn,005 relieff selection,3448.3015970515985,0.432270063562189,0.05728507041931152,0,True,False,True,True,True,True,False,False,True,True
8,diabetes,001 knn,012 relieff weighting,3419.7091430273254,0.43697753814030615,0.05728507041931152,0,0.9117647058823529,0.0,0.9771241830065359,0.9183006535947712,0.9558823529411765,1.0,0.8611111111111112,0.13562091503267973,0.9771241830065359,0.9183006535947712
9,diabetes,001 knn,006 forward selection,3365.1646377782754,0.4459577701839744,4.653987646102905,0,False,False,True,True,False,False,False,False,True,False
10,diabetes,001 knn,007 backward selection,3418.850029781848,0.43711898293407503,2.2328178882598877,0,False,True,True,True,True,True,True,True,True,True
11,diabetes,001 knn,008 stepwise selection,3365.1646377782754,0.4459577701839744,3.494199514389038,0,False,False,True,True,False,False,False,False,True,False
12,diabetes,001 knn,009 bayesian selection,3330.7714429305347,0.451620281358025,31.48384976387024,38,False,True,True,True,True,False,True,False,True,False
13,diabetes,001 knn,013 bayesian weighting,3049.5506477551926,0.4979206004212994,80.17202115058899,183,0.17567629274599478,0.14872874271809897,0.825843817901893,0.5469195056810467,0.8215972654916512,0.48021988006662125,0.67712605959112,0.48684172059441394,0.36769996677965633,0.27438551003255385
