,dataset,base,method,PM1,PM2,Time,TriesToOpt,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,wine,001 knn,000 all,0.9333333333333333,0.9333333333333333,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,wine,000 rf,000 all,1.0,1.0,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,wine,001 knn,003 feature importance selection,0.8222222222222222,0.8222222222222222,0.1462268829345703,0,False,True,False,True,False,True,False,True,False,True,False,True,False
3,wine,001 knn,011 feature importance weighting,0.9555555555555556,0.9555555555555556,0.1462268829345703,0,0.06818693861666798,0.03902457364558774,0.014349882801833304,0.026897532853620308,0.0322920999890397,0.05593508695556378,0.16714195696992815,0.00943037441915602,0.026377247388126007,0.20458984509369044,0.07969459618325267,0.12411739420671973,0.15196247087681403
4,wine,001 knn,004 l1,0.9333333333333333,0.9333333333333333,0.00399017333984375,0,True,False,False,False,False,False,True,False,False,True,True,True,True
5,wine,001 knn,005 relieff selection,0.8888888888888888,0.8888888888888888,0.037001609802246094,0,False,False,True,True,True,True,True,True,True,False,True,False,True
6,wine,001 knn,012 relieff weighting,0.8888888888888888,0.8888888888888888,0.037001609802246094,0,0.009638554216867434,0.009638554216867434,0.05783132530120483,0.05783132530120483,0.08192771084337347,0.04337349397590362,0.009638554216867434,0.09156626506024101,0.03373493975903619,0.004819277108433773,0.053012048192771055,0.0,0.03373493975903619
7,wine,001 knn,006 forward selection,0.8666666666666667,0.8666666666666667,6.0711212158203125,0,False,False,False,False,False,False,True,False,False,True,True,False,False
8,wine,001 knn,007 backward selection,0.8888888888888888,0.8888888888888888,2.949061870574951,0,False,True,True,True,True,True,True,True,True,True,True,True,True
9,wine,001 knn,008 stepwise selection,0.9333333333333333,0.9333333333333333,3.0613787174224854,0,True,True,False,False,False,False,True,True,False,False,True,True,True
10,wine,001 knn,009 bayesian selection,0.9333333333333333,0.9333333333333333,33.14831233024597,1,True,False,False,True,True,True,True,False,True,True,False,True,True
11,wine,001 knn,013 bayesian weighting,1.0,1.0,84.7349066734314,486,0.8932352190286119,0.9988438740161583,0.773795573650704,0.8324996231213646,0.012983254496632488,0.06596607400379967,0.3847518720224095,0.7990222544284826,0.46293642437399407,0.4853482511196243,0.937582312560135,0.29979331127335335,0.3117616916614
