,dataset,base,method,PM1,PM2,Time,TriesToOpt,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
0,diabetes,001 knn,000 all,3341.302732484551,0.43727032639724983,0.0,0,True,True,True,True,True,True,True,True,True,True
1,diabetes,000 rf,000 all,3617.849791131399,0.3906953080562978,0.0,0,True,True,True,True,True,True,True,True,True,True
2,diabetes,001 knn,002 intercorrelation,3315.09787059787,0.4416836509466635,0.021763086318969727,0,True,True,True,True,True,False,True,True,True,True
3,diabetes,001 knn,010 correlation weighting,3108.503350457896,0.4764775251311907,0.021763086318969727,0,0.16892972599190595,0.02692482981909824,0.5704719006705449,0.4314132546196247,0.2340821596819347,0.1841950726427784,0.3554826234803695,0.3982288333032272,0.5457654485859058,0.37484169585384375
4,diabetes,001 knn,003 feature importance selection,3346.227030749758,0.43644099455354646,0.23483681678771973,0,False,True,False,True,True,False,True,False,True,False
5,diabetes,001 knn,011 feature importance weighting,2798.5772280545,0.5286741201913887,0.23483681678771973,0,0.07064518482895422,0.01112405685814823,0.3082249494222092,0.10813668025489862,0.052849387418374486,0.0621669297472689,0.04487170865912128,0.026175182803572655,0.2378468848353004,0.07795903517215212
6,diabetes,001 knn,004 l1,2808.665605688333,0.5269750734699183,0.00656437873840332,0,False,True,True,True,True,False,True,False,True,True
7,diabetes,001 knn,005 relieff selection,2820.083947583947,0.5250520391559261,0.06224870681762695,0,True,False,True,True,True,True,False,False,True,True
8,diabetes,001 knn,012 relieff weighting,2815.3204712977445,0.5258542859651387,0.06224870681762695,0,0.9277504105090312,0.0,0.9835796387520526,0.9392446633825944,0.9770114942528736,1.0,0.8735632183908046,0.12479474548440066,0.9786535303776683,0.9047619047619048
9,diabetes,001 knn,006 forward selection,2877.9514183605097,0.5153062167778091,6.940495491027832,0,True,False,True,True,False,False,False,False,True,False
10,diabetes,001 knn,007 backward selection,2819.0214615441887,0.5252309790695555,3.956209659576416,0,True,False,True,True,False,True,True,False,True,True
11,diabetes,001 knn,008 stepwise selection,2752.387796887798,0.536453170940558,2.3120760917663574,0,True,False,True,True,True,False,False,True,True,False
12,diabetes,001 knn,009 bayesian selection,2616.900342491251,0.5592714598218957,31.03597354888916,90,False,False,True,False,True,True,True,True,True,False
13,diabetes,001 knn,013 bayesian weighting,2531.4610788474424,0.5736608201380706,80.20335721969604,329,0.007596985972231667,0.23337574628541208,0.5185723221555536,0.08778978668260493,0.7370462088700441,0.5961375447471265,0.9524816850995426,0.5432229428503509,0.46497667292060435,0.00430954576980226
