,dataset,base,method,PM1,PM2,Time,TriesToOpt,Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell
0,abalone,001 knn,000 all,5.67088012885394,0.44303775730226225,0.0,0,True,True,True,True,True,True,True,True
1,abalone,000 rf,000 all,4.390067723287528,0.5688320138674281,0.0,0,True,True,True,True,True,True,True,True
2,abalone,001 knn,002 intercorrelation,5.9941068831219395,0.41129222682613187,0.01921248435974121,0,True,False,False,False,False,False,False,True
3,abalone,001 knn,010 correlation weighting,5.363072848836386,0.4732688729495461,0.01921248435974121,0,0.3426076780099391,0.5516928200220368,0.5698461400662509,0.5381093975677355,0.5405565912359113,0.41766457488405645,0.5054977645470297,0.625439937752804
4,abalone,001 knn,003 feature importance selection,5.0403486284717305,0.5049650473462889,1.0671274662017822,0,False,True,False,True,False,True,False,True
5,abalone,001 knn,011 feature importance weighting,5.187319556708474,0.4905303818372071,1.0671274662017822,0,0.03042316805146377,0.051425173362321795,0.06409409535346192,0.057866665603996045,0.08345069890888611,0.1620433529683742,0.06792175367651782,0.4827750920749784
6,abalone,001 knn,004 l1,5.871469411787605,0.42333699580751294,0.015614986419677734,0,False,False,False,False,False,False,False,True
7,abalone,001 knn,005 relieff selection,5.195701521403698,0.4897071519771522,0.2224740982055664,0,False,True,True,False,True,True,True,True
8,abalone,001 knn,012 relieff weighting,5.166197096805017,0.4926049121344117,0.2224740982055664,0,0.0,0.7430281792962476,0.706818513651628,0.42619360490582564,1.0,0.9985399328369104,0.9906555701562272,0.9214483866257848
9,abalone,001 knn,006 forward selection,5.345635342643187,0.4749814876294093,3.939704179763794,0,False,False,False,False,False,True,False,True
10,abalone,001 knn,007 backward selection,5.178224378733614,0.49142365953088263,3.3168604373931885,0,False,True,False,True,True,True,False,True
11,abalone,001 knn,008 stepwise selection,5.181034543012656,0.49114766085631356,4.00755500793457,0,False,False,False,False,True,True,False,True
12,abalone,001 knn,009 bayesian selection,5.156308990225361,0.493576066856695,32.66456961631775,57,False,True,True,True,False,True,True,True
13,abalone,001 knn,013 bayesian weighting,4.8233084160272925,0.5262815274573007,83.42083477973938,342,0.5969156385195906,0.7636008752214302,0.20175765193556233,0.5238251530680218,0.034359618572532016,0.8835032837374794,0.21890782303300596,0.24255637332857438
