,dataset,base,method,PM1,PM2,Time,TriesToOpt,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,wine,001 knn,000 all,0.9777777777777777,0.9777777777777777,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,wine,000 rf,000 all,1.0,1.0,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,wine,001 knn,003 feature importance selection,0.8222222222222222,0.8222222222222222,0.14701056480407715,0,False,True,False,True,False,True,False,True,False,True,False,True,False
3,wine,001 knn,011 feature importance weighting,0.9777777777777777,0.9777777777777777,0.14701056480407715,0,0.1302537089978316,0.027874294612037866,0.011845245666604167,0.012981288502875636,0.04665868181474864,0.05601275574859773,0.15977523334017193,0.009053119583885102,0.01835632453482418,0.1528801681031037,0.09702050640324758,0.10789860016182834,0.16939007253024338
4,wine,001 knn,004 l1,0.9777777777777777,0.9777777777777777,0.0031731128692626953,0,True,False,False,False,False,False,True,False,False,True,True,True,True
5,wine,001 knn,005 relieff selection,0.8666666666666667,0.8666666666666667,0.036957740783691406,0,False,True,True,True,True,True,True,True,True,False,True,False,False
6,wine,001 knn,012 relieff weighting,0.9111111111111111,0.9111111111111111,0.036957740783691406,0,0.01927710843373498,0.01927710843373498,0.0626506024096386,0.10602409638554222,0.06746987951807226,0.03373493975903619,0.02409638554216864,0.10602409638554222,0.02409638554216864,0.014457831325301207,0.02409638554216864,0.004819277108433773,0.0
7,wine,001 knn,006 forward selection,0.9111111111111111,0.9111111111111111,6.114177703857422,0,True,False,False,False,False,False,True,False,False,True,False,False,False
8,wine,001 knn,007 backward selection,0.8888888888888888,0.8888888888888888,4.245927810668945,0,False,False,True,True,True,True,True,True,True,True,True,True,True
9,wine,001 knn,008 stepwise selection,0.8666666666666667,0.8666666666666667,6.11463475227356,0,False,False,True,False,False,True,True,False,False,False,True,False,True
10,wine,001 knn,009 bayesian selection,0.9555555555555556,0.9555555555555556,33.239800453186035,2,True,True,False,False,True,False,True,True,False,False,True,False,False
11,wine,001 knn,013 bayesian weighting,1.0,1.0,84.8626811504364,38,0.22815038793934228,0.5892528222245831,0.9142792041143555,0.8264801152827534,0.5817213664451594,0.21019883517435317,0.9764111240794267,0.3084928006092847,0.3363747109528852,0.9363334393141175,0.499698041726461,0.026543279819348287,0.5485299462372688
