,dataset,base,method,PM1,PM2,Time,TriesToOpt,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
0,diabetes,001 knn,000 all,3165.5735425508155,0.4740073332004797,0.0,0,True,True,True,True,True,True,True,True,True,True
1,diabetes,000 rf,000 all,3437.401232414208,0.42884036121916025,0.0,0,True,True,True,True,True,True,True,True,True,True
2,diabetes,001 knn,002 intercorrelation,3162.5240302285756,0.4745140410994598,0.02191758155822754,0,True,True,True,True,True,False,True,True,True,True
3,diabetes,001 knn,010 correlation weighting,3030.429230883776,0.4964629533088192,0.02191758155822754,0,0.15284656282451456,0.04309188949673522,0.5797362711430273,0.4573958102256108,0.17909536461260311,0.1390020719896984,0.39464756107066773,0.4011691775029556,0.5664982132984234,0.36293646898723325
4,diabetes,001 knn,003 feature importance selection,3709.7897587670313,0.3835802004754416,0.2385258674621582,0,False,True,False,True,True,False,True,False,True,False
5,diabetes,001 knn,011 feature importance weighting,2873.2502419775146,0.5225798621180322,0.2385258674621582,0,0.054964100141268915,0.00988095662627665,0.2917574081423794,0.10601576481193954,0.04834089112819287,0.05952380967139049,0.05812929817681945,0.025590260357061963,0.2823809661081756,0.06341654483649518
6,diabetes,001 knn,004 l1,2865.4856488720125,0.5238700292802473,0.0068814754486083984,0,True,True,True,True,True,False,True,False,True,False
7,diabetes,001 knn,005 relieff selection,2950.4577656168562,0.5097510364059874,0.06027579307556152,0,True,False,True,True,True,True,False,False,True,True
8,diabetes,001 knn,012 relieff weighting,2910.929789293425,0.516319017026269,0.06027579307556152,0,0.912828947368421,0.0,0.9851973684210527,0.9144736842105263,0.9588815789473685,1.0,0.899671052631579,0.13815789473684212,0.9819078947368421,0.9358552631578947
9,diabetes,001 knn,006 forward selection,2927.477347181893,0.5135694697528352,6.977863550186157,0,True,False,True,True,False,False,False,False,True,False
10,diabetes,001 knn,007 backward selection,2931.0121733303545,0.5129821219602442,3.950597047805786,0,True,False,True,True,False,True,True,False,True,True
11,diabetes,001 knn,008 stepwise selection,2876.788381356563,0.5219919637980346,6.9623236656188965,0,True,False,True,True,False,True,True,False,True,False
12,diabetes,001 knn,009 bayesian selection,2876.788381356563,0.5219919637980346,31.08360719680786,6,True,False,True,True,False,True,True,False,True,False
13,diabetes,001 knn,013 bayesian weighting,2766.347684461321,0.5403428237298233,81.01173973083496,222,0.09487016770033375,0.9123719598300428,0.6371263371568969,0.9565201370711987,0.49714453004121606,0.5514741557586482,0.770072014884878,0.3593064161727122,0.4480775653716264,0.4328404676385823
