,dataset,base,method,PM1,PM2,Time,TriesToOpt
0,abalone,001 knn,000 all,6.352617666367033,0.4491353270102112,0.0,0
1,abalone,000 rf,000 all,4.977644530210692,0.5683655666999967,0.0,0
2,abalone,001 knn,002 intercorrelation,6.635458677203364,0.42460888308972244,0.021648645401000977,0
3,abalone,001 knn,010 correlation weighting,6.0873881242745105,0.4721345995377493,0.021648645401000977,0
4,abalone,001 knn,003 feature importance selection,5.747616812590244,0.5015977314830571,1.082974910736084,0
5,abalone,001 knn,011 feature importance weighting,5.8450809849310605,0.4931461651769349,1.082974910736084,0
6,abalone,001 knn,004 l1,6.527611251981824,0.4339608289721243,0.009577035903930664,0
7,abalone,001 knn,005 relieff selection,5.863259109311741,0.4915698564694949,0.22581839561462402,0
8,abalone,001 knn,012 relieff weighting,5.837807204814417,0.49377690807943453,0.22581839561462402,0
9,abalone,001 knn,006 forward selection,5.844531183644291,0.49319384097326835,2.9845094680786133,0
10,abalone,001 knn,007 backward selection,5.828565402841086,0.4945783072016938,3.7617921829223633,0
11,abalone,001 knn,008 stepwise selection,5.844531183644291,0.49319384097326835,4.967594146728516,0
12,abalone,001 knn,009 bayesian selection,5.828565402841086,0.4945783072016938,32.8814537525177,148
13,abalone,001 knn,013 bayesian weighting,5.5511906426063815,0.5186307474109112,83.9111225605011,470
14,bike,001 knn,000 all,672193.3162652635,0.8233054291300848,0.0,0
15,bike,000 rf,000 all,426340.2965107817,0.8879310253260579,0.0,0
16,bike,001 knn,002 intercorrelation,800382.7599465358,0.7896092018793259,0.021616697311401367,0
17,bike,001 knn,010 correlation weighting,544328.9523249342,0.8569162050323483,0.021616697311401367,0
18,bike,001 knn,003 feature importance selection,572254.6028216284,0.849575592277982,0.24424028396606445,0
19,bike,001 knn,011 feature importance weighting,774413.364130068,0.7964355881859266,0.24424028396606445,0
20,bike,001 knn,004 l1,774413.364130068,0.7964355881859266,0.007386684417724609,0
21,bike,001 knn,005 relieff selection,1823249.9370066791,0.5207355422723905,0.0752558708190918,0
22,bike,001 knn,012 relieff weighting,1065117.0735217228,0.7200204172249276,0.0752558708190918,0
23,bike,001 knn,006 forward selection,1070797.9151571882,0.7185271356782805,10.19147253036499,0
24,bike,001 knn,007 backward selection,1065473.0490285368,0.7199268445310394,5.234802722930908,0
25,bike,001 knn,008 stepwise selection,1081341.763117284,0.715755551008296,2.571225881576538,0
26,bike,001 knn,009 bayesian selection,634734.2795233758,0.8331520138284907,31.702744483947754,145
27,bike,001 knn,013 bayesian weighting,503140.26925639214,0.8677431747498232,83.63423800468445,445
28,boston,001 knn,000 all,16.331016566929137,0.7473938694505939,0.0,0
29,boston,000 rf,000 all,13.902471001248177,0.7849583098328219,0.0,0
30,boston,001 knn,002 intercorrelation,17.225094173228346,0.7335643883761903,0.007004737854003906,0
31,boston,001 knn,010 correlation weighting,13.446471307086611,0.7920116563162934,0.007004737854003906,0
32,boston,001 knn,003 feature importance selection,14.673411905511811,0.773033491931243,0.2683980464935303,0
33,boston,001 knn,011 feature importance weighting,18.43775332283465,0.7148071276629963,0.2683980464935303,0
34,boston,001 knn,004 l1,18.53148081889765,0.7133573624258154,0.006647586822509766,0
35,boston,001 knn,005 relieff selection,18.54975546456693,0.7130746924823517,0.06049060821533203,0
36,boston,001 knn,012 relieff weighting,18.29354028346457,0.7170377969970667,0.06049060821533203,0
