,dataset,base,method,PM1,PM2,Time,TriesToOpt
0,abalone,001 knn,000 all,4.918084983083718,0.4618621455596057,0.0,0
1,abalone,000 rf,000 all,4.1181665315162626,0.5493893844614197,0.0,0
2,abalone,001 knn,002 intercorrelation,5.366557518898106,0.41279018990436334,0.0215914249420166,0
3,abalone,001 knn,010 correlation weighting,4.690755742865434,0.4867365570436315,0.0215914249420166,0
4,abalone,001 knn,003 feature importance selection,4.523574989029189,0.5050295089715899,1.07118558883667,0
5,abalone,001 knn,011 feature importance weighting,4.7153137032501915,0.4840494200469464,1.07118558883667,0
6,abalone,001 knn,004 l1,5.390109305547692,0.4102131486414653,0.010534524917602539,0
7,abalone,001 knn,005 relieff selection,4.732087718708417,0.48221400387986346,0.24536538124084473,0
8,abalone,001 knn,012 relieff weighting,4.710313822690468,0.484596507989941,0.24536538124084473,0
9,abalone,001 knn,006 forward selection,4.738749876136009,0.4814850292654841,2.990778684616089,0
10,abalone,001 knn,007 backward selection,4.738749876136009,0.4814850292654841,4.37641978263855,0
11,abalone,001 knn,008 stepwise selection,4.738749876136009,0.4814850292654841,4.953912973403931,0
12,abalone,001 knn,009 bayesian selection,4.7130939278333,0.4842923083224223,32.76482605934143,50
13,abalone,001 knn,013 bayesian weighting,4.374296164993913,0.5213636281167533,83.4085259437561,376
14,bike,001 knn,000 all,733053.4294129056,0.7966489505599427,0.0,0
15,bike,000 rf,000 all,376803.92315101903,0.8954735492237484,0.0,0
16,bike,001 knn,002 intercorrelation,838434.6262185455,0.7674159150104893,0.021207571029663086,0
17,bike,001 knn,010 correlation weighting,548360.4361170139,0.847883297885791,0.021207571029663086,0
18,bike,001 knn,003 feature importance selection,634978.7423050327,0.8238551401044945,0.24300456047058105,0
19,bike,001 knn,011 feature importance weighting,806798.8593275652,0.7761917642719465,0.24300456047058105,0
20,bike,001 knn,004 l1,806798.8593275652,0.7761917642719465,0.007200956344604492,0
21,bike,001 knn,005 relieff selection,1947541.9291514878,0.4597464806369589,0.07342720031738281,0
22,bike,001 knn,012 relieff weighting,1217832.5447530863,0.6621698827381055,0.07342720031738281,0
23,bike,001 knn,006 forward selection,781442.7593225058,0.7832256165654491,5.114521503448486,0
24,bike,001 knn,007 backward selection,1213543.284009647,0.663359735535328,5.244554758071899,0
25,bike,001 knn,008 stepwise selection,1249318.7226438643,0.6534355298791688,5.141502141952515,0
26,bike,001 knn,009 bayesian selection,743830.1990108278,0.7936594448576553,31.819724321365356,47
27,bike,001 knn,013 bayesian weighting,498995.678523241,0.8615772182185659,83.31944823265076,233
28,boston,001 knn,000 all,19.700931401574802,0.741904040039646,0.0,0
29,boston,000 rf,000 all,7.9583708839295895,0.8957397835087051,0.0,0
30,boston,001 knn,002 intercorrelation,19.257473385826767,0.7477136497450763,0.010259151458740234,0
31,boston,001 knn,010 correlation weighting,14.751531338582678,0.806744637392504,0.010259151458740234,0
32,boston,001 knn,003 feature importance selection,14.347977448818897,0.812031475179574,0.26967406272888184,0
33,boston,001 knn,011 feature importance weighting,14.242866897637795,0.8134084968064236,0.26967406272888184,0
34,boston,001 knn,004 l1,14.326635464566928,0.8123110700779416,0.016827821731567383,0
35,boston,001 knn,005 relieff selection,14.337827779527556,0.8121644429355461,0.0368499755859375,0
36,boston,001 knn,012 relieff weighting,14.306656629921257,0.8125728067644797,0.0368499755859375,0
37,boston,001 knn,006 forward selection,14.078106204724412,0.8155669769480179,9.058279275894165,0
38,boston,001 knn,007 backward selection,14.256151685039372,0.8132344568137253,8.140936851501465,0
39,boston,001 knn,008 stepwise selection,14.300969826771652,0.8126473078572497,9.036681413650513,0
40,boston,001 knn,009 bayesian selection,14.240480881889763,0.8134397552790519,32.61073017120361,48
41,boston,001 knn,013 bayesian weighting,11.85539288188976,0.844686073760254,85.01927995681763,435
42,diabetes,001 knn,000 all,2952.8766286948103,0.4019767634739472,0.0,0
43,diabetes,000 rf,000 all,3752.491120432896,0.24003703267872367,0.0,0
44,diabetes,001 knn,002 intercorrelation,2917.201436974164,0.40920178378436156,0.02171039581298828,0
45,diabetes,001 knn,010 correlation weighting,3208.3051708733524,0.35024679886575405,0.02171039581298828,0
46,diabetes,001 knn,003 feature importance selection,3543.2740488422305,0.28240814601049025,0.20499706268310547,0
47,diabetes,001 knn,011 feature importance weighting,2943.1591467500552,0.4039447698400155,0.20499706268310547,0
48,diabetes,001 knn,004 l1,2931.042569428932,0.40639864641405954,0.017096281051635742,0
49,diabetes,001 knn,005 relieff selection,3025.2949519767703,0.3873104412673164,0.058012962341308594,0
50,diabetes,001 knn,012 relieff weighting,2918.679417020325,0.40890245993109364,0.058012962341308594,0
51,diabetes,001 knn,006 forward selection,2971.188128210855,0.3982682772812576,8.072217226028442,0
52,diabetes,001 knn,007 backward selection,3000.462121212121,0.39233964217658146,3.959489345550537,0
53,diabetes,001 knn,008 stepwise selection,3004.7714801578436,0.3914669010809899,6.943341493606567,0
54,diabetes,001 knn,009 bayesian selection,2801.804165735984,0.43257229949149234,31.29512643814087,60
55,diabetes,001 knn,013 bayesian weighting,2614.421971558336,0.47052136419014223,80.19436550140381,182
56,fire,001 knn,000 all,2.1941301061201393,-0.01943000645712778,0.0,0
57,fire,000 rf,000 all,2.2309706724596197,-0.03654675749964076,0.0,0
58,fire,001 knn,002 intercorrelation,2.167710833485003,-0.007155164961673233,0.005980253219604492,0
59,fire,001 knn,010 correlation weighting,2.1415755399471488,0.004987735035795859,0.005980253219604492,0
60,fire,001 knn,003 feature importance selection,2.2601307069938956,-0.050095003390187465,0.24457120895385742,0
