,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8497109826589595,0.8497109826589595,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.8439306358381503,0.8439306358381503,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.8439306358381503,0.8439306358381503,0.16282916069030762,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8497109826589595,0.8497109826589595,0.16282916069030762,0,0.011227134926375318,0.07135188446096907,0.0817467401829809,0.016895174467903472,0.07164075712666283,0.026845128479975833,0.10548284454215325,0.29675217072288557,0.058824790754873645,0.10286905259767418,0.011226448604558799,0.014148899711410173,0.061051814996474725,0.06993715842510219
4,australian,001 knn,004 l1,0.8670520231213873,0.8670520231213873,0.011506795883178711,0,False,False,False,False,True,False,False,True,True,True,False,False,False,False
5,australian,001 knn,005 relieff selection,0.8497109826589595,0.8497109826589595,0.04298567771911621,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8439306358381503,0.8439306358381503,0.04298567771911621,0,0.7493816982687551,0.0,0.0,0.8680956306677658,0.5339366515837104,0.37180544105523494,0.15203619909502264,1.0,0.86479802143446,0.16570486397361914,0.7559769167353668,0.9192085737840066,0.19909502262443435,0.34932126696832577
7,australian,001 knn,006 forward selection,0.8265895953757225,0.8265895953757225,5.121501922607422,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False
8,australian,001 knn,007 backward selection,0.8323699421965318,0.8323699421965318,3.4021623134613037,0,True,True,True,True,True,True,True,True,False,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8497109826589595,0.8497109826589595,3.500361680984497,0,True,True,False,False,False,True,True,True,True,False,True,False,True,False
10,australian,001 knn,009 bayesian selection,0.8728323699421965,0.8728323699421965,34.047672271728516,48,False,True,False,True,True,True,False,True,True,True,True,False,True,True
11,australian,001 knn,013 bayesian weighting,0.8959537572254336,0.8959537572254335,87.99275088310242,167,0.20767619786289704,0.8583310724166132,0.7730873506650551,0.897680302066731,0.9082697292915644,0.033908698000029824,0.6500164609913238,0.5771485358677806,0.9302353793184145,0.7889287904966997,0.7370117724658634,0.3265766845875825,0.6668220424295395,0.9997391253119907
