,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.884393063583815,0.884393063583815,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.9017341040462428,0.9017341040462428,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.8670520231213873,0.8670520231213873,0.17134571075439453,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8786127167630058,0.8786127167630058,0.17134571075439453,0,0.012072044944596984,0.08226412215259211,0.08101989618862915,0.022010897137694857,0.08257255505404297,0.03155211039224268,0.08757067981292942,0.26221149023202456,0.04329814454530791,0.10452004460112858,0.011379294966876365,0.014617427938780443,0.07267718803713184,0.09223410399602208
4,australian,001 knn,004 l1,0.8959537572254336,0.8959537572254335,0.003372669219970703,0,False,False,False,True,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.9017341040462428,0.9017341040462428,0.055921077728271484,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8901734104046243,0.8901734104046243,0.055921077728271484,0,0.8319783197831978,0.0,0.009587727708533111,0.924119241192412,0.4736337488015341,0.3116531165311653,0.12272291466922336,1.0,0.8717253839205059,0.17073170731707318,0.7850045167118338,0.9566395663956639,0.23202301054650043,0.39501438159156277
7,australian,001 knn,006 forward selection,0.8670520231213873,0.8670520231213873,3.524878978729248,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8901734104046243,0.8901734104046243,3.399479866027832,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8786127167630058,0.8786127167630058,5.34968900680542,0,False,True,True,False,True,True,True,True,False,True,True,False,False,True
10,australian,001 knn,009 bayesian selection,0.9017341040462428,0.9017341040462428,34.302058935165405,38,True,True,False,False,True,False,False,True,True,False,True,True,True,True
11,australian,001 knn,013 bayesian weighting,0.930635838150289,0.930635838150289,88.58323168754578,293,0.6652539257036393,0.9646134783004502,0.687576870259736,0.3309154462360965,0.790372378156553,0.9670172802472196,0.873488802211542,0.6328805356880344,0.548725857989856,0.1905025588629807,0.6559540893026943,0.4072497402733378,0.3418595766248633,0.13179823361611492
