,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.7976878612716763,0.7976878612716763,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.815028901734104,0.815028901734104,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.8323699421965318,0.8323699421965318,0.16423797607421875,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8265895953757225,0.8265895953757225,0.16423797607421875,0,0.010902815029496271,0.06850051770903991,0.07060836471376605,0.01710270514309308,0.07562606317934265,0.02650722324061864,0.09299476775277908,0.2783505256055215,0.07023573012145694,0.10676641392028807,0.011304958785416161,0.011458941266397423,0.07788783476044596,0.08175313877233828
4,australian,001 knn,004 l1,0.815028901734104,0.815028901734104,0.0049304962158203125,0,False,False,False,False,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8208092485549133,0.8208092485549133,0.056165218353271484,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8092485549132948,0.8092485549132948,0.056165218353271484,0,0.8190709046454768,0.0,0.013617021276595698,0.9070904645476773,0.5548936170212766,0.3512632436837816,0.17531914893617018,1.0,0.8598207008964955,0.1850040749796251,0.7685411572942136,0.9511002444987775,0.21106382978723404,0.3421276595744681
7,australian,001 knn,006 forward selection,0.8208092485549133,0.8208092485549133,3.448233127593994,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8092485549132948,0.8092485549132948,3.3579134941101074,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8092485549132948,0.8092485549132948,3.4523956775665283,0,True,False,False,True,False,False,False,True,True,True,False,False,True,False
10,australian,001 knn,009 bayesian selection,0.8265895953757225,0.8265895953757225,34.08050465583801,14,False,True,False,True,True,False,True,True,False,False,True,True,True,True
11,australian,001 knn,013 bayesian weighting,0.861271676300578,0.861271676300578,88.71513199806213,378,0.21984296326848005,0.31842965713386573,0.30357718645434495,0.6535237084391652,0.03662750676418894,0.7772907025378114,0.8153856147436689,0.5317617989267389,0.5777979855910935,0.5015014630000024,0.7406622625530251,0.5336853097158779,0.7500962620114763,0.6487597628892521
