,dataset,base,method,PM1,PM2,Time,TriesToOpt,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
0,diabetes,001 knn,000 all,3725.839364157546,0.390342327799049,0.0,0,True,True,True,True,True,True,True,True,True,True
1,diabetes,000 rf,000 all,3731.259626382797,0.38945541236121384,0.0,0,True,True,True,True,True,True,True,True,True,True
2,diabetes,001 knn,002 intercorrelation,3736.0525091206905,0.38867115478928893,0.02143549919128418,0,True,True,True,True,True,False,True,True,True,True
3,diabetes,001 knn,010 correlation weighting,3542.1364194773287,0.42040157047805393,0.02143549919128418,0,0.21385559429417092,0.10074985891146662,0.5872098981498352,0.49386985727522115,0.22699302095011747,0.18835719786491453,0.42328194038381745,0.45473575790278586,0.5761333626215412,0.39775202102597196
4,diabetes,001 knn,003 feature importance selection,4396.990004467277,0.28052220484806223,0.21746015548706055,0,False,True,False,True,True,False,True,False,True,False
5,diabetes,001 knn,011 feature importance weighting,3399.0554128508675,0.44381386094747444,0.21746015548706055,0,0.055713296085497445,0.0114629271387636,0.24285795044813188,0.11744598434725435,0.04296814036695109,0.052580425216170505,0.05893423017310921,0.021272525970114108,0.3217454747598976,0.07501904549411025
6,diabetes,001 knn,004 l1,3376.5808763308764,0.4474913607748646,0.007568836212158203,0,True,True,True,True,True,False,True,True,True,True
7,diabetes,001 knn,005 relieff selection,3338.7705680887493,0.45367824707217763,0.0579991340637207,0,True,False,True,True,True,True,False,False,True,True
8,diabetes,001 knn,012 relieff weighting,3337.0004839550297,0.4539678852629554,0.0579991340637207,0,0.9144736842105263,0.0,0.9901315789473685,0.9243421052631579,0.9654605263157895,1.0,0.9013157894736842,0.15789473684210525,0.9638157894736842,0.9243421052631579
9,diabetes,001 knn,006 forward selection,3414.1791378155012,0.4413391716074978,5.779875993728638,0,False,False,True,False,True,False,False,False,True,True
10,diabetes,001 knn,007 backward selection,3400.668881691609,0.44354984965727284,3.1279568672180176,0,True,True,True,True,False,True,True,False,True,True
11,diabetes,001 knn,008 stepwise selection,3305.328586851314,0.4591503456900451,2.3040153980255127,0,True,False,True,True,False,False,False,False,True,False
12,diabetes,001 knn,009 bayesian selection,3323.6812597721687,0.45614730482917754,31.42305612564087,27,False,False,True,True,True,False,False,False,True,False
13,diabetes,001 knn,013 bayesian weighting,3063.658718635991,0.49869469392862753,80.5254967212677,444,0.9993300396682008,0.8245908375109803,0.696656287116839,0.7667484050594026,0.9485018765108928,0.6152028433404516,0.19408759198569345,0.8901522364193434,0.48182304602820275,0.6698694716413782
