,dataset,base,method,PM1,PM2,Time,TriesToOpt,Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell
0,abalone,001 knn,000 all,6.080423318457857,0.43826307271467846,0.0,0,True,True,True,True,True,True,True,True
1,abalone,000 rf,000 all,5.071209706100856,0.5314987775148707,0.0,0,True,True,True,True,True,True,True,True
2,abalone,001 knn,002 intercorrelation,6.4463786371776,0.4044544700081343,0.021542072296142578,0,True,False,False,False,False,False,False,True
3,abalone,001 knn,010 correlation weighting,5.89531889226664,0.45536385437899507,0.021542072296142578,0,0.35757801290323304,0.5544275339510909,0.5736004063897027,0.5450808450458215,0.5371810945402025,0.41813240748431596,0.5040425345976672,0.623950214061473
4,abalone,001 knn,003 feature importance selection,5.6278564584454,0.48007324020134634,1.0497910976409912,0,False,True,False,True,False,True,False,True
5,abalone,001 knn,011 feature importance weighting,5.81232906769344,0.46303082863557044,1.0497910976409912,0,0.02932787458163596,0.04931924810832697,0.04838262831702845,0.050072656926506656,0.08009149258017326,0.16529806191444815,0.07423572192887865,0.503272315643002
6,abalone,001 knn,004 l1,6.421769516541151,0.4067279715532567,0.010184526443481445,0,False,False,False,False,False,False,False,True
7,abalone,001 knn,005 relieff selection,5.824635397497239,0.46189391438995187,0.22768187522888184,0,False,True,True,False,True,True,True,True
8,abalone,001 knn,012 relieff weighting,5.812384231406245,0.4630257323630075,0.22768187522888184,0,0.0,0.763792860166502,0.6870325948920559,0.4169606321433611,1.0,0.9952024834203471,0.978834485678002,0.9413009736136588
9,abalone,001 knn,006 forward selection,5.820853586570312,0.46224329513836415,2.972546100616455,0,False,False,False,False,False,True,False,True
10,abalone,001 knn,007 backward selection,5.815404676927323,0.4627466899843474,2.6020171642303467,0,False,True,True,True,True,True,False,True
11,abalone,001 knn,008 stepwise selection,5.820853586570312,0.46224329513836415,2.985936403274536,0,False,False,False,False,False,True,False,True
12,abalone,001 knn,009 bayesian selection,5.795419155743042,0.46459304256084877,32.81055426597595,6,True,True,False,True,False,True,True,True
13,abalone,001 knn,013 bayesian weighting,5.505037526365335,0.4914198070283117,83.66187906265259,460,0.4467797916437567,0.29376087836801107,0.3212919145595623,0.9464278621551047,0.1914330952393238,0.5581719696501021,0.1219688968222048,0.15968679757977566
