,dataset,base,method,PM1,PM2,Time,TriesToOpt,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
0,diabetes,001 knn,000 all,3404.023453205272,0.4395799870111957,0.0,0,True,True,True,True,True,True,True,True,True,True
1,diabetes,000 rf,000 all,3357.340147963119,0.447265673931341,0.0,0,True,True,True,True,True,True,True,True,True,True
2,diabetes,001 knn,002 intercorrelation,3358.5086925768746,0.4470732910654115,0.020221948623657227,0,True,True,True,True,True,False,True,True,True,True
3,diabetes,001 knn,010 correlation weighting,3346.9147494602043,0.4489820551621799,0.020221948623657227,0,0.12170523229144933,0.01853076011403306,0.582890745955947,0.4431893727189188,0.22099104986214832,0.18660110906892274,0.4002750694091328,0.443519677466479,0.5683788573805533,0.39647862952714713
4,diabetes,001 knn,003 feature importance selection,3997.9769376814834,0.34179469732070444,0.21618366241455078,0,False,True,False,True,True,False,True,False,True,False
5,diabetes,001 knn,011 feature importance weighting,3436.922492740675,0.43416366705417864,0.21618366241455078,0,0.05463461264736056,0.010289293161355406,0.2722864977629926,0.08847493359161071,0.040618689180870006,0.04751591029925385,0.06187665359015449,0.023789346220140187,0.33895901643911963,0.06155504710714262
6,diabetes,001 knn,004 l1,3403.2475802248537,0.43970772254291013,0.016772747039794922,0,True,True,True,True,True,False,True,False,True,True
7,diabetes,001 knn,005 relieff selection,3446.115907229544,0.4326501130090641,0.055535078048706055,0,True,False,True,True,True,True,False,False,True,True
8,diabetes,001 knn,012 relieff weighting,3416.7724852952133,0.43748105531238146,0.055535078048706055,0,0.9358552631578947,0.0,0.9703947368421053,0.912828947368421,0.9671052631578947,1.0,0.8700657894736842,0.07894736842105263,0.96875,0.9161184210526315
9,diabetes,001 knn,006 forward selection,3459.4358573449485,0.43045718845395975,5.737014532089233,0,False,False,True,True,True,False,False,False,True,False
10,diabetes,001 knn,007 backward selection,3462.291638746184,0.4299870280476127,2.1978604793548584,0,True,True,True,True,True,True,True,True,True,False
11,diabetes,001 knn,008 stepwise selection,3442.8927667336757,0.4331807534301395,2.2858877182006836,0,True,False,True,True,False,False,False,False,True,False
12,diabetes,001 knn,009 bayesian selection,3442.8927667336757,0.4331807534301395,31.195944786071777,15,True,True,True,True,False,False,False,True,True,False
13,diabetes,001 knn,013 bayesian weighting,3138.3800536073263,0.48331407976924967,80.2428526878357,201,0.5813251778242766,0.600043970934557,0.43535420198853403,0.37589000085507907,0.48995370216961986,0.4521189514833361,0.31828691734551573,0.4132947364742398,0.15043370221284608,0.8744024306055511
